ONTOLOGY	TERM	N	DE	P.DE	FDR
GO:0000290	BP	deadenylation-dependent decapping of nuclear-transcribed mRNA	10	0	1	1
GO:0000291	BP	nuclear-transcribed mRNA catabolic process, exonucleolytic	35	0	1	1
GO:0000293	MF	ferric-chelate reductase activity	3	0	1	1
GO:0000294	BP	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	2	0	1	1
GO:0000295	MF	adenine nucleotide transmembrane transporter activity	13	0	1	1
GO:0000296	BP	spermine transport	1	0	1	1
GO:0000298	MF	endopolyphosphatase activity	4	0	1	1
GO:0000301	BP	retrograde transport, vesicle recycling within Golgi	2	0	1	1
GO:0000302	BP	response to reactive oxygen species	229	0	1	1
GO:0000303	BP	response to superoxide	28	0	1	1
GO:0000304	BP	response to singlet oxygen	1	0	1	1
GO:0000305	BP	response to oxygen radical	29	0	1	1
GO:0000306	CC	extrinsic component of vacuolar membrane	4	0	1	1
GO:0000307	CC	cyclin-dependent protein kinase holoenzyme complex	42	0	1	1
GO:0000308	CC	cytoplasmic cyclin-dependent protein kinase holoenzyme complex	2	0	1	1
GO:0000309	MF	nicotinamide-nucleotide adenylyltransferase activity	3	0	1	1
GO:0000313	CC	organellar ribosome	87	0	1	1
GO:0000314	CC	organellar small ribosomal subunit	28	0	1	1
GO:0000315	CC	organellar large ribosomal subunit	57	0	1	1
GO:0000320	BP	re-entry into mitotic cell cycle	5	0	1	1
GO:0000322	CC	storage vacuole	2	0	1	1
GO:0000323	CC	lytic vacuole	668	0	1	1
GO:0000324	CC	fungal-type vacuole	1	0	1	1
GO:0000329	CC	fungal-type vacuole membrane	1	0	1	1
GO:0000332	MF	template for synthesis of G-rich strand of telomere DNA activity	1	0	1	1
GO:0000333	CC	telomerase catalytic core complex	2	0	1	1
GO:0000334	MF	3-hydroxyanthranilate 3,4-dioxygenase activity	1	0	1	1
GO:0000338	BP	protein deneddylation	10	0	1	1
GO:0000339	MF	RNA cap binding	18	0	1	1
GO:0000340	MF	RNA 7-methylguanosine cap binding	12	0	1	1
GO:0000346	CC	transcription export complex	14	0	1	1
GO:0000347	CC	THO complex	6	0	1	1
GO:0000348	BP	mRNA branch site recognition	1	0	1	1
GO:0000349	BP	generation of catalytic spliceosome for first transesterification step	2	0	1	1
GO:0000350	BP	generation of catalytic spliceosome for second transesterification step	2	0	1	1
GO:0000353	BP	formation of quadruple SL/U4/U5/U6 snRNP	2	0	1	1
GO:0000354	BP	cis assembly of pre-catalytic spliceosome	2	0	1	1
GO:0000365	BP	mRNA trans splicing, via spliceosome	2	0	1	1
GO:0000375	BP	RNA splicing, via transesterification reactions	343	0	1	1
GO:0000377	BP	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	340	0	1	1
GO:0000378	BP	RNA exon ligation	1	0	1	1
GO:0000379	BP	tRNA-type intron splice site recognition and cleavage	3	0	1	1
GO:0000380	BP	alternative mRNA splicing, via spliceosome	76	0	1	1
GO:0000381	BP	regulation of alternative mRNA splicing, via spliceosome	65	0	1	1
GO:0000384	MF	first spliceosomal transesterification activity	2	0	1	1
GO:0000386	MF	second spliceosomal transesterification activity	3	0	1	1
GO:0000387	BP	spliceosomal snRNP assembly	42	0	1	1
GO:0000388	BP	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)	1	0	1	1
GO:0000389	BP	mRNA 3'-splice site recognition	6	0	1	1
GO:0000390	BP	spliceosomal complex disassembly	2	0	1	1
GO:0000393	BP	spliceosomal conformational changes to generate catalytic conformation	5	0	1	1
GO:0000394	BP	RNA splicing, via endonucleolytic cleavage and ligation	16	0	1	1
GO:0000395	BP	mRNA 5'-splice site recognition	10	0	1	1
GO:0000398	BP	mRNA splicing, via spliceosome	340	0	1	1
GO:0000400	MF	four-way junction DNA binding	16	0	1	1
GO:0000403	MF	Y-form DNA binding	5	0	1	1
GO:0000404	MF	heteroduplex DNA loop binding	1	0	1	1
GO:0000405	MF	bubble DNA binding	8	0	1	1
GO:0000406	MF	double-strand/single-strand DNA junction binding	2	0	1	1
GO:0000407	CC	phagophore assembly site	31	0	1	1
GO:0000408	CC	EKC/KEOPS complex	6	0	1	1
GO:0000409	BP	regulation of transcription by galactose	1	0	1	1
GO:0000411	BP	positive regulation of transcription by galactose	1	0	1	1
GO:0000413	BP	protein peptidyl-prolyl isomerization	40	0	1	1
GO:0000414	BP	regulation of histone H3-K36 methylation	6	0	1	1
GO:0000415	BP	negative regulation of histone H3-K36 methylation	1	0	1	1
GO:0000416	BP	positive regulation of histone H3-K36 methylation	3	0	1	1
GO:0000417	CC	HIR complex	1	0	1	1
GO:0000421	CC	autophagosome membrane	36	1	0.0103461122496192	1
GO:0000422	BP	autophagy of mitochondrion	75	0	1	1
GO:0000423	BP	mitophagy	22	0	1	1
GO:0000428	CC	DNA-directed RNA polymerase complex	105	0	1	1
GO:0000429	BP	carbon catabolite regulation of transcription from RNA polymerase II promoter	4	0	1	1
GO:0000430	BP	regulation of transcription from RNA polymerase II promoter by glucose	3	0	1	1
GO:0000431	BP	regulation of transcription from RNA polymerase II promoter by galactose	1	0	1	1
GO:0000432	BP	positive regulation of transcription from RNA polymerase II promoter by glucose	3	0	1	1
GO:0000435	BP	positive regulation of transcription from RNA polymerase II promoter by galactose	1	0	1	1
GO:0000436	BP	carbon catabolite activation of transcription from RNA polymerase II promoter	4	0	1	1
GO:0000438	CC	core TFIIH complex portion of holo TFIIH complex	2	0	1	1
GO:0000439	CC	transcription factor TFIIH core complex	8	0	1	1
GO:0000444	CC	MIS12/MIND type complex	4	0	1	1
GO:0000445	CC	THO complex part of transcription export complex	6	0	1	1
GO:0000447	BP	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	0	1	1
GO:0000448	BP	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	0	1	1
GO:0000451	BP	rRNA 2'-O-methylation	4	0	1	1
GO:0000453	BP	enzyme-directed rRNA 2'-O-methylation	1	0	1	1
GO:0000454	BP	snoRNA guided rRNA pseudouridine synthesis	3	0	1	1
GO:0000455	BP	enzyme-directed rRNA pseudouridine synthesis	2	0	1	1
GO:0000459	BP	exonucleolytic trimming involved in rRNA processing	8	0	1	1
GO:0000460	BP	maturation of 5.8S rRNA	27	0	1	1
GO:0000461	BP	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1	0	1	1
GO:0000462	BP	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	34	0	1	1
GO:0000463	BP	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	14	0	1	1
GO:0000466	BP	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	22	0	1	1
GO:0000467	BP	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	0	1	1
GO:0000469	BP	cleavage involved in rRNA processing	22	0	1	1
GO:0000470	BP	maturation of LSU-rRNA	21	0	1	1
GO:0000472	BP	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3	0	1	1
GO:0000478	BP	endonucleolytic cleavage involved in rRNA processing	11	0	1	1
GO:0000479	BP	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	11	0	1	1
GO:0000480	BP	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6	0	1	1
GO:0000481	BP	maturation of 5S rRNA	1	0	1	1
GO:0000491	BP	small nucleolar ribonucleoprotein complex assembly	11	0	1	1
GO:0000492	BP	box C/D snoRNP assembly	9	0	1	1
GO:0000493	BP	box H/ACA snoRNP assembly	2	0	1	1
GO:0000494	BP	box C/D snoRNA 3'-end processing	2	0	1	1
GO:0000495	BP	box H/ACA snoRNA 3'-end processing	2	0	1	1
GO:0000496	MF	base pairing	2	0	1	1
GO:0000497	MF	base pairing with DNA	1	0	1	1
GO:0000498	MF	base pairing with RNA	1	0	1	1
GO:0000499	MF	base pairing with mRNA	1	0	1	1
GO:0000502	CC	proteasome complex	63	0	1	1
GO:0000506	CC	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	7	0	1	1
GO:0000578	BP	embryonic axis specification	36	0	1	1
GO:0000700	MF	mismatch base pair DNA N-glycosylase activity	4	0	1	1
GO:0000701	MF	purine-specific mismatch base pair DNA N-glycosylase activity	2	0	1	1
GO:0000702	MF	oxidized base lesion DNA N-glycosylase activity	5	0	1	1
GO:0000703	MF	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	2	0	1	1
GO:0000706	BP	meiotic DNA double-strand break processing	4	0	1	1
GO:0000707	BP	meiotic DNA recombinase assembly	1	0	1	1
GO:0000710	BP	meiotic mismatch repair	3	0	1	1
GO:0000711	BP	meiotic DNA repair synthesis	3	0	1	1
GO:0000712	BP	resolution of meiotic recombination intermediates	17	0	1	1
GO:0000715	BP	nucleotide-excision repair, DNA damage recognition	23	0	1	1
GO:0000717	BP	nucleotide-excision repair, DNA duplex unwinding	21	0	1	1
GO:0000718	BP	nucleotide-excision repair, DNA damage removal	1	0	1	1
GO:0000720	BP	pyrimidine dimer repair by nucleotide-excision repair	4	0	1	1
GO:0000721	MF	(R,R)-butanediol dehydrogenase activity	1	0	1	1
GO:0000722	BP	telomere maintenance via recombination	13	0	1	1
GO:0000723	BP	telomere maintenance	160	0	1	1
GO:0000724	BP	double-strand break repair via homologous recombination	133	0	1	1
GO:0000725	BP	recombinational repair	134	0	1	1
GO:0000726	BP	non-recombinational repair	91	0	1	1
GO:0000727	BP	double-strand break repair via break-induced replication	11	0	1	1
GO:0000729	BP	DNA double-strand break processing	25	0	1	1
GO:0000730	BP	DNA recombinase assembly	5	0	1	1
GO:0000731	BP	DNA synthesis involved in DNA repair	51	0	1	1
GO:0000732	BP	strand displacement	1	0	1	1
GO:0000733	BP	DNA strand renaturation	8	0	1	1
GO:0000735	BP	removal of nonhomologous ends	1	0	1	1
GO:0000737	BP	DNA catabolic process, endonucleolytic	33	0	1	1
GO:0000738	BP	DNA catabolic process, exonucleolytic	5	0	1	1
GO:0000741	BP	karyogamy	1	0	1	1
GO:0000768	BP	syncytium formation by plasma membrane fusion	54	0	1	1
GO:0000773	MF	phosphatidyl-N-methylethanolamine N-methyltransferase activity	1	0	1	1
GO:0000774	MF	adenyl-nucleotide exchange factor activity	9	0	1	1
GO:0000775	CC	chromosome, centromeric region	190	0	1	1
GO:0000776	CC	kinetochore	132	0	1	1
GO:0000777	CC	condensed chromosome kinetochore	102	0	1	1
GO:0000778	CC	condensed nuclear chromosome kinetochore	15	0	1	1
GO:0000779	CC	condensed chromosome, centromeric region	115	0	1	1
GO:0000780	CC	condensed nuclear chromosome, centromeric region	25	0	1	1
GO:0000781	CC	chromosome, telomeric region	159	0	1	1
GO:0000782	CC	telomere cap complex	13	0	1	1
GO:0000783	CC	nuclear telomere cap complex	13	0	1	1
GO:0000784	CC	nuclear chromosome, telomeric region	123	0	1	1
GO:0000785	CC	chromatin	551	0	1	1
GO:0000786	CC	nucleosome	95	0	1	1
GO:0000788	CC	nuclear nucleosome	35	0	1	1
GO:0000789	CC	cytoplasmic chromatin	1	0	1	1
GO:0000790	CC	nuclear chromatin	374	0	1	1
GO:0000791	CC	euchromatin	38	0	1	1
GO:0000792	CC	heterochromatin	78	0	1	1
GO:0000793	CC	condensed chromosome	218	0	1	1
GO:0000794	CC	condensed nuclear chromosome	96	0	1	1
GO:0000795	CC	synaptonemal complex	38	0	1	1
GO:0000796	CC	condensin complex	8	0	1	1
GO:0000797	CC	condensin core heterodimer	1	0	1	1
GO:0000798	CC	nuclear cohesin complex	4	0	1	1
GO:0000799	CC	nuclear condensin complex	3	0	1	1
GO:0000800	CC	lateral element	12	0	1	1
GO:0000801	CC	central element	8	0	1	1
GO:0000802	CC	transverse filament	1	0	1	1
GO:0000803	CC	sex chromosome	30	0	1	1
GO:0000805	CC	X chromosome	10	0	1	1
GO:0000806	CC	Y chromosome	2	0	1	1
GO:0000808	CC	origin recognition complex	9	0	1	1
GO:0000811	CC	GINS complex	3	0	1	1
GO:0000812	CC	Swr1 complex	12	0	1	1
GO:0000813	CC	ESCRT I complex	9	0	1	1
GO:0000814	CC	ESCRT II complex	3	0	1	1
GO:0000815	CC	ESCRT III complex	10	0	1	1
GO:0000818	CC	nuclear MIS12/MIND complex	3	0	1	1
GO:0000819	BP	sister chromatid segregation	187	0	1	1
GO:0000820	BP	regulation of glutamine family amino acid metabolic process	7	0	1	1
GO:0000821	BP	regulation of arginine metabolic process	3	0	1	1
GO:0000822	MF	inositol hexakisphosphate binding	3	0	1	1
GO:0000823	MF	inositol-1,4,5-trisphosphate 6-kinase activity	1	0	1	1
GO:0000824	MF	inositol tetrakisphosphate 3-kinase activity	1	0	1	1
GO:0000825	MF	inositol tetrakisphosphate 6-kinase activity	2	0	1	1
GO:0000827	MF	inositol-1,3,4,5,6-pentakisphosphate kinase activity	2	0	1	1
GO:0000828	MF	inositol hexakisphosphate kinase activity	5	0	1	1
GO:0000829	MF	inositol heptakisphosphate kinase activity	2	0	1	1
GO:0000831	MF	inositol hexakisphosphate 6-kinase activity	1	0	1	1
GO:0000832	MF	inositol hexakisphosphate 5-kinase activity	5	0	1	1
GO:0000835	CC	ER ubiquitin ligase complex	9	0	1	1
GO:0000836	CC	Hrd1p ubiquitin ligase complex	8	0	1	1
GO:0000839	CC	Hrd1p ubiquitin ligase ERAD-L complex	7	0	1	1
GO:0000900	MF	translation repressor activity, mRNA regulatory element binding	14	0	1	1
GO:0000902	BP	cell morphogenesis	1027	0	1	1
GO:0000904	BP	cell morphogenesis involved in differentiation	740	0	1	1
GO:0000910	BP	cytokinesis	170	0	1	1
GO:0000912	BP	assembly of actomyosin apparatus involved in cytokinesis	6	0	1	1
GO:0000915	BP	actomyosin contractile ring assembly	6	0	1	1
GO:0000916	BP	actomyosin contractile ring contraction	1	0	1	1
GO:0000917	BP	division septum assembly	1	0	1	1
GO:0000921	BP	septin ring assembly	1	0	1	1
GO:0000922	CC	spindle pole	163	0	1	1
GO:0000923	CC	equatorial microtubule organizing center	5	0	1	1
GO:0000930	CC	gamma-tubulin complex	21	0	1	1
GO:0000931	CC	gamma-tubulin large complex	8	0	1	1
GO:0000932	CC	P-body	83	0	1	1
GO:0000938	CC	GARP complex	5	0	1	1
GO:0000939	CC	condensed chromosome inner kinetochore	5	0	1	1
GO:0000940	CC	condensed chromosome outer kinetochore	13	0	1	1
GO:0000941	CC	condensed nuclear chromosome inner kinetochore	2	0	1	1
GO:0000942	CC	condensed nuclear chromosome outer kinetochore	4	0	1	1
GO:0000956	BP	nuclear-transcribed mRNA catabolic process	206	0	1	1
GO:0000957	BP	mitochondrial RNA catabolic process	5	0	1	1
GO:0000958	BP	mitochondrial mRNA catabolic process	3	0	1	1
GO:0000959	BP	mitochondrial RNA metabolic process	43	0	1	1
GO:0000960	BP	regulation of mitochondrial RNA catabolic process	4	0	1	1
GO:0000961	BP	negative regulation of mitochondrial RNA catabolic process	2	0	1	1
GO:0000962	BP	positive regulation of mitochondrial RNA catabolic process	2	0	1	1
GO:0000963	BP	mitochondrial RNA processing	17	0	1	1
GO:0000964	BP	mitochondrial RNA 5'-end processing	4	0	1	1
GO:0000965	BP	mitochondrial RNA 3'-end processing	5	0	1	1
GO:0000966	BP	RNA 5'-end processing	21	0	1	1
GO:0000967	BP	rRNA 5'-end processing	3	0	1	1
GO:0000968	BP	tRNA exon ligation	1	0	1	1
GO:0000971	BP	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate	1	0	1	1
GO:0000972	BP	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	6	0	1	1
GO:0000973	BP	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery	3	0	1	1
GO:0000974	CC	Prp19 complex	13	0	1	1
GO:0000976	MF	transcription regulatory region sequence-specific DNA binding	825	0	1	1
GO:0000977	MF	RNA polymerase II regulatory region sequence-specific DNA binding	776	0	1	1
GO:0000978	MF	RNA polymerase II proximal promoter sequence-specific DNA binding	535	0	1	1
GO:0000979	MF	RNA polymerase II core promoter sequence-specific DNA binding	34	0	1	1
GO:0000980	MF	RNA polymerase II distal enhancer sequence-specific DNA binding	98	0	1	1
GO:0000981	MF	DNA-binding transcription factor activity, RNA polymerase II-specific	1565	1	0.400824442477033	1
GO:0000987	MF	proximal promoter sequence-specific DNA binding	549	0	1	1
GO:0000992	MF	polymerase III regulatory region sequence-specific DNA binding	4	0	1	1
GO:0000993	MF	RNA polymerase II complex binding	50	0	1	1
GO:0000994	MF	RNA polymerase III core binding	1	0	1	1
GO:0000995	MF	RNA polymerase III general transcription initiation factor activity	5	0	1	1
GO:0001002	MF	RNA polymerase III type 1 promoter sequence-specific DNA binding	2	0	1	1
GO:0001003	MF	RNA polymerase III type 2 promoter sequence-specific DNA binding	2	0	1	1
GO:0001004	MF	RNA polymerase III transcription regulator recruiting activity	2	0	1	1
GO:0001006	MF	RNA polymerase III type 3 promoter sequence-specific DNA binding	2	0	1	1
GO:0001010	MF	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity	1	0	1	1
GO:0001012	MF	RNA polymerase II regulatory region DNA binding	782	0	1	1
GO:0001013	MF	RNA polymerase I regulatory region DNA binding	8	0	1	1
GO:0001016	MF	RNA polymerase III regulatory region DNA binding	11	0	1	1
GO:0001018	MF	mitochondrial promoter sequence-specific DNA binding	3	0	1	1
GO:0001025	MF	RNA polymerase III transcription factor binding	3	0	1	1
GO:0001030	MF	RNA polymerase III type 1 promoter DNA binding	5	0	1	1
GO:0001031	MF	RNA polymerase III type 2 promoter DNA binding	5	0	1	1
GO:0001032	MF	RNA polymerase III type 3 promoter DNA binding	5	0	1	1
GO:0001042	MF	RNA polymerase I core binding	6	0	1	1
GO:0001046	MF	core promoter sequence-specific DNA binding	45	0	1	1
GO:0001047	MF	core promoter binding	55	0	1	1
GO:0001054	MF	RNA polymerase I activity	12	0	1	1
