N	DE	P.DE	FDR
KEGG_GLYCEROLIPID_METABOLISM	48	0	1	1
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	0	1	1
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	0	1	1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	76	0	1	1
KEGG_ETHER_LIPID_METABOLISM	33	0	1	1
KEGG_ARACHIDONIC_ACID_METABOLISM	58	0	1	1
KEGG_LINOLEIC_ACID_METABOLISM	29	0	1	1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19	0	1	1
KEGG_SPHINGOLIPID_METABOLISM	39	0	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	25	0	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14	0	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	0	1	1
KEGG_PYRUVATE_METABOLISM	40	0	1	1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16	0	1	1
KEGG_PROPANOATE_METABOLISM	32	0	1	1
KEGG_BUTANOATE_METABOLISM	34	0	1	1
KEGG_ONE_CARBON_POOL_BY_FOLATE	17	0	1	1
KEGG_RIBOFLAVIN_METABOLISM	16	0	1	1
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	0	1	1
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	0	1	1
KEGG_FOLATE_BIOSYNTHESIS	11	0	1	1
KEGG_RETINOL_METABOLISM	64	0	1	1
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	0	1	1
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15	0	1	1
KEGG_LIMONENE_AND_PINENE_DEGRADATION	9	0	1	1
KEGG_NITROGEN_METABOLISM	23	0	1	1
KEGG_SULFUR_METABOLISM	13	0	1	1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	40	0	1	1
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	0	1	1
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	0	1	1
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	0	1	1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	0	1	1
KEGG_ABC_TRANSPORTERS	44	0	1	1
KEGG_RIBOSOME	87	0	1	1
KEGG_RNA_DEGRADATION	56	0	1	1
KEGG_RNA_POLYMERASE	29	0	1	1
KEGG_BASAL_TRANSCRIPTION_FACTORS	34	0	1	1
KEGG_DNA_REPLICATION	36	0	1	1
KEGG_SPLICEOSOME	125	0	1	1
KEGG_PROTEASOME	44	0	1	1
KEGG_PROTEIN_EXPORT	23	0	1	1
KEGG_PPAR_SIGNALING_PATHWAY	69	0	1	1
KEGG_BASE_EXCISION_REPAIR	34	0	1	1
KEGG_NUCLEOTIDE_EXCISION_REPAIR	43	0	1	1
KEGG_MISMATCH_REPAIR	23	0	1	1
KEGG_HOMOLOGOUS_RECOMBINATION	28	0	1	1
KEGG_NON_HOMOLOGOUS_END_JOINING	13	0	1	1
KEGG_MAPK_SIGNALING_PATHWAY	267	0	1	1
KEGG_ERBB_SIGNALING_PATHWAY	87	0	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	176	0	1	1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	249	0	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	0	1	1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	0	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	269	0	1	1
KEGG_CELL_CYCLE	124	0	1	1
KEGG_OOCYTE_MEIOSIS	112	0	1	1
KEGG_P53_SIGNALING_PATHWAY	68	0	1	1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	133	0	1	1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	37	0	1	1
KEGG_REGULATION_OF_AUTOPHAGY	26	0	1	1
KEGG_LYSOSOME	121	1	0.0363244201052679	1
KEGG_ENDOCYTOSIS	181	0	1	1
KEGG_PEROXISOME	78	0	1	1
KEGG_MTOR_SIGNALING_PATHWAY	52	0	1	1
KEGG_APOPTOSIS	86	0	1	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	73	0	1	1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	0	1	1
KEGG_WNT_SIGNALING_PATHWAY	150	0	1	1
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	0	1	1
KEGG_NOTCH_SIGNALING_PATHWAY	47	0	1	1
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	0	1	1
KEGG_TGF_BETA_SIGNALING_PATHWAY	85	0	1	1
KEGG_AXON_GUIDANCE	129	0	1	1
KEGG_VEGF_SIGNALING_PATHWAY	76	0	1	1
KEGG_FOCAL_ADHESION	199	0	1	1
KEGG_ECM_RECEPTOR_INTERACTION	84	0	1	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	130	0	1	1
KEGG_ADHERENS_JUNCTION	73	0	1	1
KEGG_TIGHT_JUNCTION	132	0	1	1
KEGG_GAP_JUNCTION	89	0	1	1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	0	1	1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	73	0	1	1
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17	0	1	1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	93	0	1	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	0	1	1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	60	0	1	1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	46	0	1	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	139	0	1	1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	82	0	1	1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	123	0	1	1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	0	1	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	0	1	1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	0	1	1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	0	1	1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	115	0	1	1
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	46	0	1	1
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13	0	1	1
KEGG_LONG_TERM_POTENTIATION	70	0	1	1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	0	1	1
KEGG_LONG_TERM_DEPRESSION	70	0	1	1
KEGG_OLFACTORY_TRANSDUCTION	375	0	1	1
KEGG_TASTE_TRANSDUCTION	51	0	1	1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	0	1	1
KEGG_INSULIN_SIGNALING_PATHWAY	137	0	1	1
KEGG_GNRH_SIGNALING_PATHWAY	101	0	1	1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	0	1	1
KEGG_MELANOGENESIS	101	0	1	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	0	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	47	0	1	1
KEGG_TYPE_I_DIABETES_MELLITUS	41	0	1	1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25	0	1	1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	0	1	1
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	0	1	1
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	0	1	1
KEGG_ALZHEIMERS_DISEASE	157	0	1	1
KEGG_PARKINSONS_DISEASE	112	0	1	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	0	1	1
KEGG_HUNTINGTONS_DISEASE	171	0	1	1
KEGG_PRION_DISEASES	35	0	1	1
KEGG_VIBRIO_CHOLERAE_INFECTION	54	0	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	0	1	1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	55	0	1	1
KEGG_LEISHMANIA_INFECTION	70	0	1	1
KEGG_PATHWAYS_IN_CANCER	324	0	1	1
KEGG_COLORECTAL_CANCER	62	0	1	1
KEGG_RENAL_CELL_CARCINOMA	70	0	1	1
KEGG_PANCREATIC_CANCER	70	0	1	1
KEGG_ENDOMETRIAL_CANCER	52	0	1	1
KEGG_GLIOMA	65	0	1	1
KEGG_PROSTATE_CANCER	89	0	1	1
KEGG_THYROID_CANCER	29	0	1	1
KEGG_BASAL_CELL_CARCINOMA	55	0	1	1
KEGG_MELANOMA	71	0	1	1
KEGG_BLADDER_CANCER	42	0	1	1
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	0	1	1
KEGG_ACUTE_MYELOID_LEUKEMIA	57	0	1	1
KEGG_SMALL_CELL_LUNG_CANCER	84	0	1	1
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	0	1	1
KEGG_ASTHMA	28	0	1	1
KEGG_AUTOIMMUNE_THYROID_DISEASE	42	0	1	1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	124	0	1	1
KEGG_ALLOGRAFT_REJECTION	35	0	1	1
KEGG_GRAFT_VERSUS_HOST_DISEASE	37	0	1	1
KEGG_PRIMARY_IMMUNODEFICIENCY	35	0	1	1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	0	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	0	1	1
KEGG_DILATED_CARDIOMYOPATHY	90	0	1	1
KEGG_VIRAL_MYOCARDITIS	68	0	1	1
BIOCARTA_RELA_PATHWAY	15	0	1	1
BIOCARTA_NO1_PATHWAY	28	0	1	1
BIOCARTA_CSK_PATHWAY	20	0	1	1
BIOCARTA_SRCRPTP_PATHWAY	11	0	1	1
BIOCARTA_AMI_PATHWAY	20	0	1	1
BIOCARTA_GRANULOCYTES_PATHWAY	15	0	1	1
BIOCARTA_LYM_PATHWAY	14	0	1	1
BIOCARTA_ARAP_PATHWAY	17	0	1	1
BIOCARTA_AGR_PATHWAY	33	0	1	1
BIOCARTA_AKAP95_PATHWAY	11	0	1	1
BIOCARTA_AKT_PATHWAY	22	0	1	1
BIOCARTA_ALK_PATHWAY	37	0	1	1
BIOCARTA_AT1R_PATHWAY	27	0	1	1
BIOCARTA_ACE2_PATHWAY	13	0	1	1
BIOCARTA_ASBCELL_PATHWAY	13	0	1	1
BIOCARTA_DNAFRAGMENT_PATHWAY	10	0	1	1
BIOCARTA_CHEMICAL_PATHWAY	18	0	1	1
BIOCARTA_SPPA_PATHWAY	16	0	1	1
BIOCARTA_ATM_PATHWAY	20	0	1	1
BIOCARTA_AGPCR_PATHWAY	11	0	1	1
BIOCARTA_BCELLSURVIVAL_PATHWAY	15	0	1	1
BIOCARTA_BLYMPHOCYTE_PATHWAY	12	0	1	1
BIOCARTA_BCR_PATHWAY	33	0	1	1
BIOCARTA_BIOPEPTIDES_PATHWAY	29	0	1	1
BIOCARTA_RANKL_PATHWAY	13	0	1	1
BIOCARTA_CACAM_PATHWAY	9	0	1	1
BIOCARTA_CDMAC_PATHWAY	16	0	1	1
BIOCARTA_CARM_ER_PATHWAY	25	0	1	1
BIOCARTA_CASPASE_PATHWAY	22	0	1	1
BIOCARTA_CBL_PATHWAY	12	0	1	1
BIOCARTA_CCR3_PATHWAY	19	0	1	1
BIOCARTA_CD40_PATHWAY	15	0	1	1
BIOCARTA_MCM_PATHWAY	18	0	1	1
BIOCARTA_G1_PATHWAY	28	0	1	1
BIOCARTA_G2_PATHWAY	24	0	1	1
BIOCARTA_CELL2CELL_PATHWAY	12	0	1	1
BIOCARTA_LAIR_PATHWAY	17	0	1	1
BIOCARTA_CERAMIDE_PATHWAY	21	0	1	1
BIOCARTA_TID_PATHWAY	19	0	1	1
BIOCARTA_CLASSIC_PATHWAY	14	0	1	1
BIOCARTA_COMP_PATHWAY	19	0	1	1
BIOCARTA_VDR_PATHWAY	24	0	1	1
BIOCARTA_HDAC_PATHWAY	25	0	1	1
BIOCARTA_GCR_PATHWAY	17	0	1	1
BIOCARTA_CTCF_PATHWAY	24	0	1	1
BIOCARTA_CTL_PATHWAY	13	0	1	1
BIOCARTA_CXCR4_PATHWAY	19	0	1	1
BIOCARTA_CELLCYCLE_PATHWAY	23	0	1	1
BIOCARTA_CFTR_PATHWAY	11	0	1	1
BIOCARTA_CYTOKINE_PATHWAY	17	0	1	1
BIOCARTA_INFLAM_PATHWAY	25	0	1	1
BIOCARTA_D4GDI_PATHWAY	12	0	1	1
BIOCARTA_DC_PATHWAY	15	0	1	1
BIOCARTA_P35ALZHEIMERS_PATHWAY	8	0	1	1
BIOCARTA_RNA_PATHWAY	10	0	1	1
BIOCARTA_MTA3_PATHWAY	18	0	1	1
BIOCARTA_SKP2E2F_PATHWAY	10	0	1	1
BIOCARTA_CALCINEURIN_PATHWAY	18	0	1	1
BIOCARTA_EGF_PATHWAY	27	0	1	1
BIOCARTA_ETC_PATHWAY	9	0	1	1
BIOCARTA_NDKDYNAMIN_PATHWAY	17	0	1	1
BIOCARTA_EPHA4_PATHWAY	8	0	1	1
BIOCARTA_EPO_PATHWAY	19	0	1	1
BIOCARTA_ECM_PATHWAY	19	0	1	1
BIOCARTA_ERK_PATHWAY	27	0	1	1
BIOCARTA_ERYTH_PATHWAY	15	0	1	1
BIOCARTA_EPONFKB_PATHWAY	11	0	1	1
BIOCARTA_EIF_PATHWAY	16	0	1	1
BIOCARTA_EXTRINSIC_PATHWAY	13	0	1	1
BIOCARTA_FAS_PATHWAY	30	0	1	1
BIOCARTA_FCER1_PATHWAY	39	0	1	1
BIOCARTA_FIBRINOLYSIS_PATHWAY	12	0	1	1
BIOCARTA_FMLP_PATHWAY	34	0	1	1
BIOCARTA_FREE_PATHWAY	10	0	1	1
BIOCARTA_GABA_PATHWAY	10	0	1	1
BIOCARTA_GATA3_PATHWAY	14	0	1	1
BIOCARTA_SET_PATHWAY	10	0	1	1
BIOCARTA_GH_PATHWAY	27	0	1	1
BIOCARTA_AHSP_PATHWAY	12	0	1	1
BIOCARTA_TCAPOPTOSIS_PATHWAY	9	0	1	1
BIOCARTA_HIVNEF_PATHWAY	56	0	1	1
BIOCARTA_SALMONELLA_PATHWAY	5	0	1	1
BIOCARTA_MPR_PATHWAY	21	0	1	1
BIOCARTA_HCMV_PATHWAY	17	0	1	1
BIOCARTA_P53HYPOXIA_PATHWAY	21	0	1	1
BIOCARTA_HIF_PATHWAY	15	0	1	1
BIOCARTA_IGF1_PATHWAY	21	0	1	1
BIOCARTA_IL17_PATHWAY	15	0	1	1
BIOCARTA_IL2_PATHWAY	22	0	1	1
BIOCARTA_IL3_PATHWAY	14	0	1	1
BIOCARTA_IL4_PATHWAY	11	0	1	1
BIOCARTA_IL5_PATHWAY	11	0	1	1
BIOCARTA_IL6_PATHWAY	21	0	1	1
BIOCARTA_IL10_PATHWAY	13	0	1	1
BIOCARTA_IL12_PATHWAY	20	0	1	1
BIOCARTA_IL2RB_PATHWAY	37	0	1	1
BIOCARTA_IL22BP_PATHWAY	9	0	1	1
BIOCARTA_IL7_PATHWAY	16	0	1	1
BIOCARTA_GSK3_PATHWAY	20	0	1	1
BIOCARTA_DEATH_PATHWAY	29	0	1	1
BIOCARTA_RACCYCD_PATHWAY	26	0	1	1
BIOCARTA_GLEEVEC_PATHWAY	23	0	1	1
BIOCARTA_INSULIN_PATHWAY	21	0	1	1
BIOCARTA_INTEGRIN_PATHWAY	34	0	1	1
BIOCARTA_INTRINSIC_PATHWAY	23	0	1	1
BIOCARTA_KERATINOCYTE_PATHWAY	46	0	1	1
BIOCARTA_TCRA_PATHWAY	12	0	1	1
BIOCARTA_LECTIN_PATHWAY	12	0	1	1
BIOCARTA_PYK2_PATHWAY	27	0	1	1
BIOCARTA_EGFR_SMRTE_PATHWAY	11	0	1	1
BIOCARTA_MAPK_PATHWAY	81	0	1	1
BIOCARTA_MCALPAIN_PATHWAY	19	0	1	1
BIOCARTA_PPARA_PATHWAY	52	0	1	1
BIOCARTA_ETS_PATHWAY	17	0	1	1
BIOCARTA_MONOCYTE_PATHWAY	11	0	1	1
BIOCARTA_MTOR_PATHWAY	22	0	1	1
BIOCARTA_IGF1R_PATHWAY	23	0	1	1
BIOCARTA_PITX2_PATHWAY	16	0	1	1
BIOCARTA_NGF_PATHWAY	20	0	1	1
BIOCARTA_VIP_PATHWAY	26	0	1	1
BIOCARTA_NFAT_PATHWAY	51	0	1	1
BIOCARTA_NTHI_PATHWAY	23	0	1	1
BIOCARTA_NFKB_PATHWAY	21	0	1	1
BIOCARTA_NOS1_PATHWAY	21	0	1	1
BIOCARTA_NO2IL12_PATHWAY	16	0	1	1
BIOCARTA_RARRXR_PATHWAY	7	0	1	1
BIOCARTA_NUCLEARRS_PATHWAY	34	0	1	1
BIOCARTA_ARENRF2_PATHWAY	20	0	1	1
BIOCARTA_P38MAPK_PATHWAY	36	0	1	1
BIOCARTA_P53_PATHWAY	16	0	1	1
BIOCARTA_PDGF_PATHWAY	28	0	1	1
BIOCARTA_CCR5_PATHWAY	17	0	1	1
BIOCARTA_PTDINS_PATHWAY	23	0	1	1
BIOCARTA_PLCE_PATHWAY	11	0	1	1
BIOCARTA_EDG1_PATHWAY	22	0	1	1
BIOCARTA_CDK5_PATHWAY	13	0	1	1
BIOCARTA_MYOSIN_PATHWAY	11	0	1	1
BIOCARTA_PLATELETAPP_PATHWAY	14	0	1	1
BIOCARTA_PS1_PATHWAY	14	0	1	1
BIOCARTA_AKAPCENTROSOME_PATHWAY	14	0	1	1
BIOCARTA_PTEN_PATHWAY	18	0	1	1
BIOCARTA_RAB_PATHWAY	13	0	1	1
BIOCARTA_RAC1_PATHWAY	21	0	1	1
BIOCARTA_RAS_PATHWAY	22	0	1	1
BIOCARTA_NKCELLS_PATHWAY	20	0	1	1
BIOCARTA_RB_PATHWAY	13	0	1	1
BIOCARTA_BAD_PATHWAY	24	0	1	1
BIOCARTA_CK1_PATHWAY	16	0	1	1
BIOCARTA_EIF2_PATHWAY	11	0	1	1
BIOCARTA_EIF4_PATHWAY	24	0	1	1
BIOCARTA_STEM_PATHWAY	15	0	1	1
BIOCARTA_P27_PATHWAY	13	0	1	1
BIOCARTA_PGC1A_PATHWAY	15	0	1	1
BIOCARTA_PML_PATHWAY	17	0	1	1
BIOCARTA_DREAM_PATHWAY	13	0	1	1
BIOCARTA_LEPTIN_PATHWAY	11	0	1	1
BIOCARTA_RHO_PATHWAY	21	0	1	1
BIOCARTA_AKAP13_PATHWAY	11	0	1	1
BIOCARTA_ATRBRCA_PATHWAY	22	0	1	1
BIOCARTA_CARDIACEGF_PATHWAY	18	0	1	1
BIOCARTA_HER2_PATHWAY	23	0	1	1
BIOCARTA_ERK5_PATHWAY	14	0	1	1
BIOCARTA_MAL_PATHWAY	19	0	1	1
BIOCARTA_MEF2D_PATHWAY	18	0	1	1
BIOCARTA_MITOCHONDRIA_PATHWAY	19	0	1	1
BIOCARTA_ACH_PATHWAY	14	0	1	1
BIOCARTA_PARKIN_PATHWAY	8	0	1	1
BIOCARTA_CDC42RAC_PATHWAY	8	0	1	1
BIOCARTA_RANMS_PATHWAY	10	0	1	1
BIOCARTA_BARR_MAPK_PATHWAY	14	0	1	1
BIOCARTA_TOB1_PATHWAY	19	0	1	1
BIOCARTA_BARRESTIN_SRC_PATHWAY	17	0	1	1
BIOCARTA_NKT_PATHWAY	26	0	1	1
BIOCARTA_IL1R_PATHWAY	29	0	1	1
BIOCARTA_MET_PATHWAY	33	0	1	1
BIOCARTA_GPCR_PATHWAY	30	0	1	1
BIOCARTA_IGF1MTOR_PATHWAY	19	0	1	1
BIOCARTA_SODD_PATHWAY	10	0	1	1
BIOCARTA_SHH_PATHWAY	16	0	1	1
BIOCARTA_PTC1_PATHWAY	11	0	1	1
BIOCARTA_SPRY_PATHWAY	16	0	1	1
BIOCARTA_BARRESTIN_PATHWAY	12	0	1	1
BIOCARTA_STATHMIN_PATHWAY	20	0	1	1
BIOCARTA_HSP27_PATHWAY	14	0	1	1
BIOCARTA_TCR_PATHWAY	44	0	1	1
BIOCARTA_TCYTOTOXIC_PATHWAY	12	0	1	1
BIOCARTA_THELPER_PATHWAY	12	0	1	1
BIOCARTA_TALL1_PATHWAY	15	0	1	1
BIOCARTA_TEL_PATHWAY	17	0	1	1
BIOCARTA_TGFB_PATHWAY	19	0	1	1
BIOCARTA_TH1TH2_PATHWAY	21	0	1	1
BIOCARTA_41BB_PATHWAY	18	0	1	1
BIOCARTA_CTLA4_PATHWAY	20	0	1	1
BIOCARTA_LONGEVITY_PATHWAY	15	0	1	1
BIOCARTA_SARS_PATHWAY	7	0	1	1
BIOCARTA_PAR1_PATHWAY	19	0	1	1
BIOCARTA_STRESS_PATHWAY	24	0	1	1
BIOCARTA_TNFR1_PATHWAY	29	0	1	1
BIOCARTA_TNFR2_PATHWAY	17	0	1	1
BIOCARTA_TOLL_PATHWAY	25	0	1	1
BIOCARTA_TPO_PATHWAY	24	0	1	1
BIOCARTA_CREB_PATHWAY	22	0	1	1
BIOCARTA_CARM1_PATHWAY	12	0	1	1
BIOCARTA_TFF_PATHWAY	24	0	1	1
BIOCARTA_TRKA_PATHWAY	14	0	1	1
BIOCARTA_ARF_PATHWAY	17	0	1	1
BIOCARTA_UCALPAIN_PATHWAY	14	0	1	1
BIOCARTA_VEGF_PATHWAY	27	0	1	1
BIOCARTA_VITCB_PATHWAY	11	0	1	1
BIOCARTA_WNT_PATHWAY	24	0	1	1
BIOCARTA_ACTINY_PATHWAY	12	0	1	1
SA_B_CELL_RECEPTOR_COMPLEXES	24	0	1	1
SIG_CD40PATHWAYMAP	34	0	1	1
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	67	0	1	1
SA_CASPASE_CASCADE	19	0	1	1
SIG_CHEMOTAXIS	45	0	1	1
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	27	0	1	1
WNT_SIGNALING	89	0	1	1
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	35	0	1	1
SA_FAS_SIGNALING	8	0	1	1
SA_G1_AND_S_PHASES	15	0	1	1
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	51	0	1	1
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	36	0	1	1
SIG_BCR_SIGNALING_PATHWAY	46	0	1	1
SA_G2_AND_M_PHASES	8	0	1	1
SA_MMP_CYTOKINE_CONNECTION	15	0	1	1
SA_PROGRAMMED_CELL_DEATH	12	0	1	1
SA_PTEN_PATHWAY	17	0	1	1
SA_REG_CASCADE_OF_CYCLIN_EXPR	13	0	1	1
SA_TRKA_RECEPTOR	17	0	1	1
PID_FANCONI_PATHWAY	47	0	1	1
PID_SMAD2_3NUCLEAR_PATHWAY	80	0	1	1
PID_FCER1_PATHWAY	59	0	1	1
PID_ENDOTHELIN_PATHWAY	63	0	1	1
PID_BCR_5PATHWAY	63	0	1	1
PID_PRL_SIGNALING_EVENTS_PATHWAY	23	0	1	1
PID_RHOA_PATHWAY	45	0	1	1
PID_ERBB4_PATHWAY	38	0	1	1
PID_AURORA_B_PATHWAY	39	0	1	1
PID_LYSOPHOSPHOLIPID_PATHWAY	65	0	1	1
PID_INSULIN_PATHWAY	44	0	1	1
PID_NOTCH_PATHWAY	59	0	1	1
PID_INTEGRIN1_PATHWAY	66	0	1	1
PID_P73PATHWAY	79	0	1	1
PID_P38_MKK3_6PATHWAY	26	0	1	1
PID_GMCSF_PATHWAY	35	0	1	1
PID_WNT_NONCANONICAL_PATHWAY	32	0	1	1
PID_NFKAPPAB_ATYPICAL_PATHWAY	17	0	1	1
PID_IL4_2PATHWAY	61	0	1	1
PID_HDAC_CLASSII_PATHWAY	34	0	1	1
PID_BETA_CATENIN_DEG_PATHWAY	18	0	1	1
PID_HDAC_CLASSIII_PATHWAY	26	0	1	1
PID_GLYPICAN_1PATHWAY	27	0	1	1
PID_TCR_PATHWAY	65	0	1	1
PID_IL27_PATHWAY	26	0	1	1
PID_NFKAPPAB_CANONICAL_PATHWAY	23	0	1	1
PID_E2F_PATHWAY	73	0	1	1
PID_ER_NONGENOMIC_PATHWAY	40	0	1	1
PID_DNA_PK_PATHWAY	16	0	1	1
PID_HIF2PATHWAY	34	0	1	1
PID_CD40_PATHWAY	31	0	1	1
